epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,epoch_101,epoch_102,epoch_103,epoch_104,epoch_105,epoch_106,epoch_107,epoch_108,epoch_109,epoch_110,epoch_111,epoch_112,epoch_113,epoch_114,epoch_115,epoch_116,epoch_117,epoch_118,epoch_119,epoch_120,epoch_121,epoch_122,epoch_123,epoch_124,epoch_125,epoch_126,epoch_127,epoch_128,epoch_129,epoch_130,epoch_131,epoch_132,epoch_133,epoch_134,epoch_135,epoch_136,epoch_137,epoch_138,epoch_139,epoch_140,epoch_141,epoch_142,epoch_143,epoch_144,epoch_145,epoch_146,epoch_147,epoch_148,epoch_149,epoch_150,epoch_151,epoch_152,epoch_153,epoch_154,epoch_155,epoch_156,epoch_157,epoch_158,epoch_159,epoch_160,epoch_161,epoch_162,epoch_163,epoch_164,epoch_165,epoch_166,epoch_167,epoch_168,epoch_169,epoch_170,epoch_171,epoch_172,epoch_173,epoch_174,epoch_175,epoch_176,epoch_177,epoch_178,epoch_179,epoch_180,epoch_181,epoch_182,epoch_183,epoch_184,epoch_185,epoch_186,epoch_187,epoch_188,epoch_189,epoch_190,epoch_191,epoch_192,epoch_193,epoch_194,epoch_195,epoch_196,epoch_197,epoch_198,epoch_199
33.46,45.57,49.18,59.11,59.31,59.84,59.91,63.26,65.18,68.89,70.11,71.18,71.02,73.17,73.63,73.91,78.88,77.49,78.14,80.22,82.62,82.02,85.13,84.55,82.42,85.2,85.87,85.94,87.36,86.74,86.83,87.05,87.86,87.37,87.61,87.03,88.5,87.34,89.69,88.76,88.15,89.15,88.79,90.37,89.79,89.77,90.08,88.52,89.41,91.0,90.87,90.12,89.79,90.82,91.31,89.88,90.23,92.83,92.26,91.12,91.69,92.78,92.19,91.7,92.39,92.86,93.11,92.67,93.45,93.22,93.56,92.54,91.8,92.18,91.63,91.04,91.98,91.82,92.51,89.86,91.64,91.24,93.44,92.7,93.05,93.28,92.69,93.89,92.57,92.0,93.97,92.77,92.49,93.73,92.58,91.36,91.9,92.33,91.98,93.41,93.09,92.45,93.26,92.35,93.06,93.04,93.63,93.44,93.2,93.25,92.88,93.73,93.08,91.78,92.68,93.98,93.4,93.46,93.58,92.41,93.13,93.48,93.97,94.12,93.65,93.81,93.43,94.3,93.6,93.22,93.24,94.14,93.99,93.04,91.57,92.16,92.52,93.62,93.19,93.09,92.53,93.12,93.9,94.04,93.45,93.48,94.41,93.08,93.31,93.08,93.79,92.85,93.99,93.71,93.81,93.39,94.12,94.1,93.83,93.62,93.47,93.07,93.87,93.74,93.3,93.45,93.11,94.21,94.04,92.91,93.23,93.63,93.59,93.8,93.8,93.91,93.74,93.95,93.29,94.04,94.29,93.67,93.31,94.03,94.34,94.0,94.71,94.11,94.21,94.97,94.68,94.31,94.49,94.59,94.96,94.76,94.8,94.47,93.76,93.95
20.43,44.99,23.82,50.02,58.25,63.23,67.56,71.6,74.49,77.58,78.72,79.82,82.26,83.81,84.55,84.65,87.59,87.39,87.64,88.39,89.49,89.79,90.23,90.33,89.74,90.28,90.73,90.93,91.98,91.18,90.78,91.73,91.43,91.63,92.33,91.33,91.88,92.53,91.78,92.18,92.13,92.78,92.13,92.63,92.43,92.43,92.33,92.33,92.78,92.83,92.43,92.33,92.87,92.92,93.27,93.17,93.02,93.12,93.52,93.52,93.52,93.42,93.42,93.27,93.72,93.52,94.12,93.72,94.42,94.42,94.42,93.92,93.82,93.57,93.67,94.12,94.27,94.22,94.27,93.57,94.22,94.37,94.17,94.32,94.27,94.27,94.57,94.57,94.47,94.07,94.37,94.87,94.57,95.07,94.72,94.52,94.32,94.77,94.57,94.57,94.72,94.72,95.22,94.67,94.67,94.97,95.47,95.47,95.02,95.12,94.82,94.97,94.97,94.82,94.92,95.27,95.42,95.02,95.42,95.22,95.12,95.22,95.37,95.37,95.27,95.27,95.17,95.42,95.17,95.47,95.02,95.17,95.17,94.82,95.02,95.62,95.27,95.62,95.32,95.57,95.42,95.47,95.47,95.62,95.76,95.62,95.71,95.32,95.91,95.81,95.86,96.01,95.71,95.67,95.52,95.71,95.52,95.37,95.47,95.57,95.52,95.37,95.42,95.32,95.37,95.57,95.22,95.62,95.22,95.32,95.47,95.37,95.32,95.17,95.67,96.01,95.81,95.67,95.81,95.76,95.71,95.86,95.62,95.71,95.76,95.47,95.86,95.91,95.81,95.91,95.81,95.71,95.67,95.62,95.71,95.71,95.96,95.81,95.47,95.52
17.01,10.39,18.75,20.83,22.2,26.84,31.49,35.13,41.09,42.5,52.68,57.78,62.58,66.03,67.41,69.0,70.27,70.98,72.6,74.18,74.78,75.04,75.71,76.89,76.84,77.85,78.07,78.16,78.19,79.38,78.7,78.92,79.19,79.58,79.49,80.05,79.82,80.34,80.01,80.26,80.22,80.08,80.47,80.23,80.24,81.0,81.01,80.19,80.62,80.83,81.25,80.42,81.23,80.95,80.65,81.01,80.47,81.4,81.02,81.1,80.68,80.69,81.17,80.99,81.12,81.73,81.22,81.63,81.33,80.57,81.45,81.75,81.49,81.6,81.21,81.35,81.76,81.42,81.28,81.04,80.14,80.28,81.47,81.25,80.91,80.7,81.08,81.27,81.81,81.68,81.78,81.28,82.24,80.98,81.9,81.73,81.38,81.96,82.29,82.37,81.65,81.98,81.54,81.86,82.13,81.54,80.75,81.04,80.69,81.71,81.86,81.82,81.4,82.1,82.31,81.78,81.68,81.26,80.89,80.87,81.11,81.82,81.62,81.64,81.9,80.7,80.86,81.52,81.73,82.37,82.78,81.44,81.42,81.62,81.3,81.02,82.06,81.14,81.75,81.62,81.85,81.94,81.73,81.83,81.98,81.28,81.79,81.83,80.75,80.42,81.24,80.19,81.41,82.15,81.94,82.1,82.27,82.07,82.38,81.16,81.53,81.89,81.36,81.66,80.76,80.5,80.9,81.57,81.33,81.37,81.33,81.85,81.47,81.43,80.39,80.92,80.8,81.72,81.03,82.01,82.15,82.02,81.76,81.85,81.95,82.38,81.8,81.36,81.72,82.11,81.4,81.72,81.97,82.22,82.42,82.24,82.35,82.09,82.74,82.29
10.7,11.29,13.28,13.58,14.03,15.17,15.27,18.31,19.95,22.29,24.23,25.82,28.41,29.95,31.69,32.59,35.02,35.37,35.67,37.96,39.0,39.05,40.45,40.1,39.55,39.85,40.55,41.19,43.28,42.99,45.07,45.02,44.13,44.33,45.07,45.47,45.17,46.27,46.57,46.32,45.27,44.78,46.07,47.31,47.81,47.66,46.02,47.91,47.31,47.71,47.66,47.06,47.21,48.01,46.97,47.41,47.61,48.61,46.57,48.06,47.76,48.26,48.31,48.06,48.31,49.9,48.56,48.51,49.2,48.91,48.81,48.51,48.96,48.31,49.05,49.2,49.15,48.36,48.51,47.51,48.11,49.85,49.35,49.2,48.81,48.21,47.51,48.91,49.55,50.15,50.25,49.3,49.8,49.8,50.35,50.05,49.4,50.2,49.25,50.7,49.35,49.4,48.81,49.25,50.4,49.2,47.71,49.6,48.36,49.6,48.66,49.3,50.05,50.8,49.8,49.7,49.45,49.7,49.4,48.61,48.86,48.86,49.15,49.65,49.25,49.45,49.15,48.76,49.05,50.3,49.5,49.95,50.25,50.5,49.9,49.35,49.45,49.35,49.6,49.75,50.3,50.3,50.0,50.45,49.6,49.0,49.95,49.9,49.1,48.86,48.86,48.86,49.6,49.5,50.4,49.65,51.19,50.6,50.35,50.1,49.85,50.75,50.8,51.69,49.95,49.7,49.75,50.75,51.14,51.0,50.2,50.7,50.45,50.95,49.6,49.65,49.75,50.6,49.6,49.1,50.25,50.1,50.6,50.75,51.04,52.04,49.95,50.25,50.55,51.24,50.6,50.6,51.54,51.79,50.4,51.09,50.2,50.1,51.39,50.85
