epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,epoch_101,epoch_102,epoch_103,epoch_104,epoch_105,epoch_106,epoch_107,epoch_108,epoch_109,epoch_110,epoch_111,epoch_112,epoch_113,epoch_114,epoch_115,epoch_116,epoch_117,epoch_118,epoch_119,epoch_120,epoch_121,epoch_122,epoch_123,epoch_124,epoch_125,epoch_126,epoch_127,epoch_128,epoch_129,epoch_130,epoch_131,epoch_132,epoch_133,epoch_134,epoch_135,epoch_136,epoch_137,epoch_138,epoch_139,epoch_140,epoch_141,epoch_142,epoch_143,epoch_144,epoch_145,epoch_146,epoch_147,epoch_148,epoch_149,epoch_150,epoch_151,epoch_152,epoch_153,epoch_154,epoch_155,epoch_156,epoch_157,epoch_158,epoch_159,epoch_160,epoch_161,epoch_162,epoch_163,epoch_164,epoch_165,epoch_166,epoch_167,epoch_168,epoch_169,epoch_170,epoch_171,epoch_172,epoch_173,epoch_174,epoch_175,epoch_176,epoch_177,epoch_178,epoch_179,epoch_180,epoch_181,epoch_182,epoch_183,epoch_184,epoch_185,epoch_186,epoch_187,epoch_188,epoch_189,epoch_190,epoch_191,epoch_192,epoch_193,epoch_194,epoch_195,epoch_196,epoch_197,epoch_198,epoch_199
30.85,29.51,59.23,47.07,66.89,56.53,68.52,60.87,65.29,63.16,65.27,61.69,66.94,62.43,67.23,64.76,68.54,69.94,69.07,68.35,69.48,68.6,69.24,69.01,69.98,70.47,69.63,71.83,72.33,72.44,71.07,72.13,75.48,75.49,76.25,76.16,77.78,76.53,77.62,76.25,79.47,79.17,80.29,79.64,82.12,80.69,79.55,79.57,80.11,81.49,82.37,80.77,83.44,82.78,84.62,77.85,81.99,83.58,82.04,80.51,82.92,82.42,84.56,82.44,85.32,82.58,83.93,83.65,85.33,82.88,85.02,82.81,83.24,85.21,82.82,82.4,83.43,81.88,82.79,84.81,84.7,85.0,84.31,83.72,85.44,84.65,84.28,84.88,84.56,85.11,85.87,86.19,85.64,85.28,84.64,86.24,84.39,85.69,86.21,86.18,87.9,88.37,88.74,86.21,86.89,87.23,87.81,87.54,86.83,87.04,86.64,90.52,86.95,88.55,89.6,90.09,90.29,90.34,88.88,90.09,89.24,90.6,90.45,91.36,92.27,92.28,91.64,92.07,90.82,90.79,91.17,92.13,91.89,92.79,91.26,92.25,92.56,92.73,92.44,91.76,91.37,92.79,91.16,92.84,92.26,92.51,91.93,93.22,92.19,93.01,92.31,93.45,92.21,93.25,92.34,93.92,93.1,93.79,93.33,92.82,92.36,93.36,93.26,92.48,93.87,93.15,92.54,94.0,91.95,92.9,92.79,92.75,93.26,93.13,93.96,93.52,93.3,93.61,93.14,93.19,93.11,93.62,93.71,94.14,93.04,94.11,93.15,94.84,94.41,94.5,93.89,94.1,94.27,94.69,93.91,93.87,94.4,93.35,93.38,94.82
20.88,19.08,30.24,24.51,39.71,30.69,43.05,43.1,51.02,48.88,57.65,56.35,62.88,62.88,66.82,68.31,72.55,75.19,77.48,79.82,80.92,83.26,84.8,84.5,86.7,85.65,86.9,87.24,88.29,87.89,88.29,89.09,90.58,89.49,90.43,90.33,90.73,91.03,90.48,91.63,91.63,92.43,91.78,92.23,92.43,92.87,92.23,92.43,93.27,93.27,92.92,93.02,93.07,93.22,92.97,93.02,93.57,93.62,93.52,93.37,93.52,93.72,93.72,93.82,94.12,93.92,94.27,93.82,93.97,93.82,94.17,93.47,93.72,93.87,94.27,93.92,94.47,93.72,94.17,93.67,93.82,93.67,93.82,93.27,93.92,93.62,94.12,93.27,93.97,94.02,93.92,93.87,93.87,93.82,93.67,93.57,93.77,93.87,93.92,93.57,93.72,94.02,93.97,93.77,94.37,93.87,94.07,93.72,93.72,94.02,93.72,93.62,93.07,93.87,94.17,94.27,94.42,93.62,93.82,93.72,94.27,94.27,93.72,94.37,94.57,93.87,94.17,94.42,94.72,94.12,94.42,94.57,94.57,94.22,94.27,94.22,94.32,94.12,94.32,94.02,94.22,93.97,94.37,94.57,94.47,94.07,93.77,94.02,93.62,94.02,93.82,94.27,93.97,93.82,93.87,93.37,94.02,93.92,94.12,94.22,94.07,94.22,93.97,93.17,94.42,93.97,93.62,94.27,93.82,93.42,93.52,93.42,93.62,93.27,93.97,93.52,93.97,93.47,93.77,94.22,93.87,93.37,93.92,93.82,94.17,93.37,93.87,93.42,93.97,93.02,93.62,93.42,94.47,93.07,93.52,93.52,94.17,93.47,93.62,93.02
16.72,17.57,17.11,18.13,18.59,19.79,20.61,21.49,22.79,21.92,24.81,22.98,25.37,23.4,26.86,22.08,26.32,19.6,24.17,21.23,24.85,21.82,23.91,23.74,25.23,25.34,29.38,26.75,30.43,34.13,36.14,34.81,36.49,35.54,38.99,40.67,39.61,40.03,41.98,40.87,42.66,43.12,47.72,46.69,46.8,48.36,49.7,50.4,50.67,49.05,50.83,50.73,52.7,52.37,51.41,54.39,53.69,54.94,52.65,57.73,53.25,57.31,52.19,55.9,49.94,56.96,52.94,59.16,56.08,58.0,58.5,58.55,59.05,59.76,60.13,62.84,60.99,61.74,61.77,60.61,60.22,63.45,64.8,62.57,64.44,64.73,63.26,64.81,65.64,62.92,63.96,66.19,64.25,64.56,65.5,65.5,65.83,65.14,66.21,67.67,66.45,66.27,66.61,65.67,68.09,69.22,69.31,67.03,70.15,68.68,70.3,66.96,69.61,70.08,69.25,69.44,68.51,68.98,70.14,70.19,70.28,68.8,69.26,69.33,68.88,68.81,69.65,70.86,70.69,70.36,71.49,69.26,70.24,71.22,71.95,72.29,71.01,70.94,71.18,71.43,71.74,71.88,71.94,68.25,70.94,71.36,72.62,71.57,71.52,71.97,71.73,71.44,72.5,71.75,70.71,71.37,72.2,72.6,72.72,71.44,73.18,71.94,72.4,74.4,72.62,73.37,74.11,72.23,72.58,73.01,72.65,72.3,72.12,72.95,72.7,73.71,71.75,73.67,72.84,72.11,72.93,73.28,71.91,73.43,72.77,72.74,73.08,73.53,73.36,73.17,73.31,73.85,72.78,73.56,73.94,74.14,72.43,73.67,73.63,72.43
10.8,10.15,12.89,14.08,12.84,14.03,13.93,13.98,15.02,14.68,15.97,15.67,16.92,17.01,19.35,18.71,19.1,18.06,20.45,19.25,21.04,20.5,22.34,21.94,23.53,23.88,25.22,24.78,26.87,27.21,27.06,26.62,28.41,28.46,29.85,28.61,30.5,29.5,33.08,29.15,33.28,29.7,33.48,32.94,33.78,32.64,36.57,34.48,35.37,32.29,35.72,34.28,35.77,35.12,36.67,38.01,36.47,35.92,36.37,37.91,35.77,37.11,35.52,35.77,34.93,37.31,34.73,37.91,37.31,37.41,37.36,38.31,37.91,37.61,37.71,38.56,37.01,37.86,37.31,38.01,38.51,39.4,38.91,39.35,38.91,38.96,37.51,39.5,38.36,38.06,38.16,39.55,38.86,38.86,39.65,40.1,40.2,38.41,38.31,40.85,40.2,38.71,39.6,39.1,39.0,40.0,39.4,39.55,40.75,40.05,39.45,40.1,40.35,40.1,39.8,39.6,39.2,39.75,40.9,41.09,39.5,39.1,40.25,40.45,39.75,40.45,40.5,40.4,40.5,40.35,41.14,39.5,40.05,41.54,40.35,40.9,40.4,40.9,40.75,41.0,41.54,41.54,41.14,40.35,40.7,40.75,42.54,42.04,41.64,42.34,41.04,41.99,42.64,42.14,42.74,41.84,41.89,41.89,41.39,41.19,41.29,41.44,42.39,42.79,42.69,42.19,43.18,41.84,43.28,42.64,42.89,42.59,43.18,43.78,42.54,43.18,42.69,42.89,42.99,41.74,42.89,42.34,41.99,42.24,43.03,43.18,43.58,42.99,43.68,44.23,43.58,43.53,43.18,43.88,43.98,43.68,42.24,41.84,43.13,43.78
