epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,epoch_101,epoch_102,epoch_103,epoch_104,epoch_105,epoch_106,epoch_107,epoch_108,epoch_109,epoch_110,epoch_111,epoch_112,epoch_113,epoch_114,epoch_115,epoch_116,epoch_117,epoch_118,epoch_119,epoch_120,epoch_121,epoch_122,epoch_123,epoch_124,epoch_125,epoch_126,epoch_127,epoch_128,epoch_129,epoch_130,epoch_131,epoch_132,epoch_133,epoch_134,epoch_135,epoch_136,epoch_137,epoch_138,epoch_139,epoch_140,epoch_141,epoch_142,epoch_143,epoch_144,epoch_145,epoch_146,epoch_147,epoch_148,epoch_149,epoch_150,epoch_151,epoch_152,epoch_153,epoch_154,epoch_155,epoch_156,epoch_157,epoch_158,epoch_159,epoch_160,epoch_161,epoch_162,epoch_163,epoch_164,epoch_165,epoch_166,epoch_167,epoch_168,epoch_169,epoch_170,epoch_171,epoch_172,epoch_173,epoch_174,epoch_175,epoch_176,epoch_177,epoch_178,epoch_179,epoch_180,epoch_181,epoch_182,epoch_183,epoch_184,epoch_185,epoch_186,epoch_187,epoch_188,epoch_189,epoch_190,epoch_191,epoch_192,epoch_193,epoch_194,epoch_195,epoch_196,epoch_197,epoch_198,epoch_199
12.31,53.63,69.86,70.12,70.54,73.67,79.28,81.14,83.66,82.4,84.88,85.53,85.09,86.95,88.55,87.4,88.64,88.86,90.11,88.14,90.2,92.07,92.4,92.16,91.6,92.76,91.27,93.71,94.08,94.71,93.84,92.97,93.2,92.95,93.36,94.26,94.53,94.19,94.94,93.58,93.89,94.39,94.22,94.57,95.38,95.57,94.45,94.92,95.69,94.47,94.61,95.21,94.51,95.48,95.71,93.98,95.01,95.52,95.6,93.63,95.07,95.48,95.56,95.08,94.52,95.78,95.52,94.64,96.04,95.98,95.52,95.45,94.83,95.55,95.8,95.12,94.29,95.65,95.08,95.56,95.93,96.09,95.31,95.3,95.71,96.03,94.04,96.96,96.0,95.59,97.1,94.93,95.54,96.63,95.18,95.95,95.98,96.02,95.34,96.8,95.88,94.29,97.19,95.78,96.12,95.92,96.23,95.6,96.93,95.32,96.33,96.96,94.6,95.88,96.38,97.23,96.08,95.66,96.43,95.75,96.11,96.63,96.82,96.35,95.65,96.4,96.03,96.36,96.97,96.94,96.23,96.99,96.48,96.27,95.88,96.26,96.44,97.08,96.02,96.65,96.0,96.54,96.82,96.54,95.35,96.74,96.61,96.14,96.44,96.84,96.75,96.54,96.08,96.59,96.71,96.9,96.45,96.5,96.72,96.76,96.98,95.16,97.11,96.87,96.48,97.16,96.97,96.91,96.93,96.36,97.06,96.86,96.92,96.58,96.41,96.9,96.7,97.03,96.84,96.71,96.83,96.98,96.67,96.65,96.61,96.91,97.17,96.69,96.97,96.9,96.96,96.43,96.69,97.25,97.01,97.11,96.85,97.09,97.03,96.46
27.9,34.28,28.95,41.95,53.41,59.49,65.22,70.45,77.68,78.38,79.32,81.76,82.61,85.55,85.9,85.9,87.69,88.14,89.14,89.59,88.79,91.23,91.03,91.03,91.18,92.08,91.18,91.93,92.58,92.78,92.38,92.28,92.58,92.58,93.02,92.87,93.17,93.82,92.58,93.02,93.57,93.37,93.17,93.02,94.52,93.47,93.27,93.92,93.62,93.82,94.22,94.27,94.17,94.47,93.67,95.07,94.27,93.82,94.27,93.97,95.07,94.82,94.62,94.42,94.67,94.87,94.82,94.87,94.77,95.42,94.47,94.82,94.87,94.97,94.97,95.02,94.92,95.12,94.82,95.27,95.22,95.32,94.87,94.72,95.22,95.22,94.62,95.12,95.02,95.02,95.52,95.22,95.71,95.17,95.32,95.02,95.22,95.52,94.77,95.81,94.97,95.37,95.76,95.37,95.27,95.52,95.62,94.97,95.81,95.12,95.57,95.67,95.37,95.81,95.47,95.52,95.67,95.22,95.52,95.52,95.86,95.67,95.62,95.62,95.76,95.86,95.71,95.47,95.76,95.52,95.57,96.11,95.22,95.91,95.47,96.31,95.42,96.06,96.01,95.91,96.21,96.06,96.01,95.52,95.71,95.91,95.76,95.67,95.81,95.76,95.52,95.81,96.01,96.11,95.71,95.86,96.26,96.01,96.06,95.67,96.36,95.32,96.06,96.26,95.71,96.16,95.81,95.91,95.67,95.71,95.71,96.06,95.81,95.81,96.26,96.06,96.01,95.67,96.41,96.06,96.06,96.06,96.16,96.11,96.21,95.81,96.31,96.31,95.96,96.16,96.21,96.01,96.31,96.21,95.76,96.16,96.46,96.21,95.86,96.01
14.88,18.38,20.49,24.28,26.12,32.46,34.84,40.45,42.91,48.94,50.96,54.06,58.58,59.25,59.83,63.79,64.16,66.55,68.89,69.52,71.12,72.33,72.88,75.07,74.3,76.53,76.4,76.53,77.86,77.68,77.1,78.95,78.71,79.29,79.18,79.68,79.13,80.07,79.09,80.54,79.75,80.23,81.68,80.51,79.52,81.18,80.5,81.26,80.6,81.71,81.83,80.34,82.01,81.78,81.4,81.83,81.24,83.29,81.08,82.71,81.69,81.93,80.44,80.81,82.7,81.94,80.56,83.05,81.59,81.51,82.03,81.9,82.61,81.54,83.01,82.01,83.18,82.59,82.56,81.69,82.29,81.99,82.02,80.93,82.56,83.21,81.25,83.07,83.02,83.29,82.26,82.49,82.74,80.96,82.15,83.11,82.53,82.91,83.28,81.88,82.51,82.12,82.17,82.68,82.78,82.37,82.36,82.13,82.04,83.92,81.95,81.76,81.74,83.86,82.69,82.37,82.95,82.96,82.03,81.98,83.21,83.16,81.1,83.41,83.36,81.69,82.15,83.1,82.35,81.49,82.72,81.24,83.07,82.92,82.81,81.2,82.97,81.12,83.1,82.68,83.54,82.74,81.67,82.09,81.6,83.01,82.64,83.19,82.16,82.19,82.52,81.53,82.53,82.76,81.9,82.0,82.89,83.73,82.05,81.12,82.2,83.22,81.77,81.59,82.26,81.51,83.06,83.68,82.69,81.81,82.16,82.58,82.74,82.52,82.19,82.32,82.69,82.98,81.3,82.87,81.74,82.25,81.67,82.59,80.45,82.37,82.68,82.05,81.15,81.65,82.44,82.7,83.42,82.57,81.98,81.2,82.56,81.9,83.33,82.13
10.4,12.49,14.08,14.13,15.37,16.22,17.66,17.76,19.55,19.55,22.29,23.38,25.27,26.17,31.04,29.85,34.48,33.08,34.98,39.5,33.88,41.99,42.59,43.23,43.13,46.02,43.03,48.71,47.51,49.7,50.45,48.71,50.35,50.7,52.09,50.45,52.84,52.79,53.08,53.08,52.64,54.73,54.48,54.78,55.57,56.37,53.58,57.56,57.66,56.07,57.56,56.57,58.56,57.91,58.71,57.31,59.05,60.2,57.81,59.5,58.91,57.86,60.75,59.05,60.25,59.6,60.4,59.2,61.29,60.65,61.54,59.5,61.79,60.15,62.34,60.45,61.24,61.59,61.89,59.45,63.13,63.08,60.9,62.24,62.09,61.64,60.9,62.14,63.83,60.8,62.09,62.04,64.58,61.79,61.99,63.68,61.54,63.03,59.45,62.44,61.89,62.64,61.14,63.73,63.78,63.08,62.29,64.33,61.59,63.33,61.94,64.58,62.04,63.78,62.89,64.33,64.78,64.58,64.18,60.35,65.32,64.53,63.58,64.53,64.18,62.99,62.59,64.63,63.78,64.23,63.88,62.44,64.13,64.78,65.07,63.88,66.17,63.68,61.29,65.07,64.98,63.83,64.28,65.87,63.38,61.49,63.13,64.33,64.03,63.78,65.82,63.33,62.69,64.68,64.48,64.78,65.22,65.97,62.94,64.88,64.43,63.48,64.63,63.43,65.32,64.33,62.99,64.93,67.16,64.88,63.83,64.73,66.42,65.47,65.67,64.13,65.47,67.21,63.28,66.07,65.22,64.63,66.07,64.88,64.23,66.22,65.12,64.98,65.92,65.52,66.47,66.17,64.63,65.82,65.52,64.98,64.68,65.37,66.87,66.67
