epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,epoch_101,epoch_102,epoch_103,epoch_104,epoch_105,epoch_106,epoch_107,epoch_108,epoch_109,epoch_110,epoch_111,epoch_112,epoch_113,epoch_114,epoch_115,epoch_116,epoch_117,epoch_118,epoch_119,epoch_120,epoch_121,epoch_122,epoch_123,epoch_124,epoch_125,epoch_126,epoch_127,epoch_128,epoch_129,epoch_130,epoch_131,epoch_132,epoch_133,epoch_134,epoch_135,epoch_136,epoch_137,epoch_138,epoch_139,epoch_140,epoch_141,epoch_142,epoch_143,epoch_144,epoch_145,epoch_146,epoch_147,epoch_148,epoch_149,epoch_150,epoch_151,epoch_152,epoch_153,epoch_154,epoch_155,epoch_156,epoch_157,epoch_158,epoch_159,epoch_160,epoch_161,epoch_162,epoch_163,epoch_164,epoch_165,epoch_166,epoch_167,epoch_168,epoch_169,epoch_170,epoch_171,epoch_172,epoch_173,epoch_174,epoch_175,epoch_176,epoch_177,epoch_178,epoch_179,epoch_180,epoch_181,epoch_182,epoch_183,epoch_184,epoch_185,epoch_186,epoch_187,epoch_188,epoch_189,epoch_190,epoch_191,epoch_192,epoch_193,epoch_194,epoch_195,epoch_196,epoch_197,epoch_198,epoch_199
29.84,52.52,52.87,50.75,50.88,52.14,53.73,56.5,60.08,63.86,65.64,65.05,66.85,69.1,71.57,72.74,74.27,73.69,76.09,75.76,79.48,80.06,80.14,81.98,80.19,85.39,83.12,84.63,82.33,83.01,84.11,82.84,85.44,87.31,84.86,83.51,88.15,86.08,87.31,87.89,87.58,88.34,86.44,87.67,87.25,87.74,86.42,88.59,90.44,88.95,87.92,87.63,88.44,88.69,86.95,89.05,87.78,88.57,89.56,87.66,87.7,88.37,87.43,88.48,89.8,90.59,89.87,88.55,92.15,90.35,88.95,89.07,91.6,91.23,89.83,89.56,89.79,88.67,89.71,89.45,90.72,91.13,91.41,90.58,91.85,89.13,87.49,89.69,90.53,86.83,89.49,89.59,90.01,90.5,86.84,88.96,90.62,91.01,89.84,86.36,87.93,87.69,90.29,88.25,89.02,89.2,88.73,87.61,89.43,88.84,89.28,91.77,90.1,88.23,89.13,88.22,90.23,90.97,90.89,87.91,88.94,89.84,89.75,91.27,88.81,90.85,90.15,90.82,90.59,90.42,90.41,89.91,91.91,90.19,88.17,89.04,89.51,89.32,88.86,90.56,89.0,88.96,90.03,91.97,89.5,90.23,90.47,89.21,90.13,86.99,91.02,90.66,89.37,88.67,90.54,89.75,89.38,89.91,90.66,90.27,90.1,89.2,90.86,91.24,91.05,90.17,90.3,90.11,87.22,90.34,90.48,88.84,89.94,90.75,90.2,90.59,90.25,89.99,91.01,90.23,90.84,91.33,91.02,90.77,91.07,91.17,90.0,89.92,88.58,89.91,90.1,89.6,88.73,89.31,89.32,89.88,90.52,89.6,88.91,89.06
15.74,23.07,34.53,48.73,51.52,53.21,60.94,66.57,71.75,74.79,76.08,76.98,78.48,80.17,81.37,82.61,81.81,81.27,81.37,82.76,82.11,83.41,84.11,84.75,83.56,84.55,82.91,85.15,85.4,86.1,85.4,84.3,84.95,86.1,86.45,85.5,86.95,87.05,86.55,86.5,86.95,87.44,87.05,86.9,86.6,86.65,87.34,87.1,87.49,87.19,87.39,87.24,87.59,88.19,87.29,88.09,88.04,87.59,89.39,88.29,88.09,88.09,87.44,87.94,89.09,88.44,88.49,88.39,89.39,88.89,89.14,88.24,90.33,89.39,88.99,88.64,90.03,89.19,89.29,89.09,90.53,90.63,89.59,88.84,90.08,89.14,89.54,89.14,89.44,87.79,88.54,89.59,90.33,90.63,88.99,90.18,90.03,90.88,90.48,89.64,89.24,89.89,91.38,90.58,90.13,90.53,90.73,89.79,89.74,90.93,90.98,92.08,91.23,91.03,91.38,90.28,90.68,91.08,91.13,90.88,90.93,91.48,90.53,91.68,90.58,91.48,91.43,90.68,90.88,90.93,90.83,91.28,91.83,90.88,90.78,91.28,91.93,91.73,91.38,91.68,91.18,91.03,92.38,92.68,92.28,93.12,92.73,92.28,92.68,91.18,92.13,91.93,92.43,91.93,92.48,92.73,92.73,93.27,92.92,93.27,92.58,92.38,92.53,92.58,92.08,91.98,92.63,92.92,90.78,92.38,91.53,91.88,92.78,92.48,92.68,93.22,92.23,91.83,92.97,92.83,92.78,93.42,92.58,93.12,92.68,93.02,92.63,92.73,92.08,92.53,93.22,92.92,92.48,92.08,92.18,92.28,92.58,92.03,92.33,92.73
18.4,20.0,23.21,27.97,29.79,34.1,32.47,41.28,47.66,52.57,57.17,61.66,65.49,68.37,69.89,70.86,71.15,71.55,73.35,73.69,74.55,74.91,75.53,75.88,76.69,76.79,76.48,77.12,77.78,77.84,77.41,77.72,77.94,77.8,78.25,78.31,78.15,78.03,78.1,77.96,78.5,78.68,79.44,79.33,79.5,79.21,79.28,78.85,79.5,79.47,79.52,79.66,79.49,79.65,79.95,79.26,79.63,79.98,80.11,80.19,79.93,80.07,79.4,79.55,79.66,79.4,79.07,80.01,80.08,79.77,79.9,79.53,80.17,79.82,80.29,79.34,80.15,80.1,79.72,79.53,79.94,80.15,79.59,79.76,79.83,80.11,80.71,80.21,80.01,80.66,80.57,80.82,80.34,79.91,79.99,79.82,79.87,79.73,80.08,80.7,80.08,80.11,80.27,80.7,80.36,79.64,79.96,79.99,79.73,79.99,80.29,79.59,79.82,79.72,80.16,80.99,81.68,81.32,80.85,80.11,79.92,80.14,80.18,80.19,80.6,80.19,80.13,79.95,80.02,79.86,81.08,80.68,80.62,80.62,80.42,79.96,80.0,79.77,79.71,80.22,79.85,80.38,80.35,80.1,80.46,79.63,79.89,80.26,79.91,80.0,80.12,80.34,79.91,80.32,79.98,79.18,79.55,79.18,79.72,79.4,80.46,79.84,79.31,79.85,79.86,79.49,79.81,79.93,79.94,79.64,79.96,80.11,79.56,79.68,79.33,78.99,80.45,80.32,79.74,79.53,79.58,78.71,78.93,79.41,79.26,78.73,79.27,79.11,80.16,79.35,79.56,79.73,79.77,79.27,79.64,79.68,79.2,78.83,79.63,79.42
9.65,12.19,12.94,13.68,15.12,15.97,17.26,18.06,18.66,20.05,20.95,22.14,22.69,24.38,25.27,25.32,26.52,25.47,26.07,26.57,26.67,26.82,27.66,28.36,28.21,29.3,28.36,29.5,29.75,30.4,30.6,30.85,30.8,31.09,31.44,31.44,31.84,32.79,31.69,32.09,32.54,32.34,32.29,33.33,32.74,33.98,33.18,34.63,34.38,34.08,33.68,33.78,34.78,35.22,34.13,34.53,34.63,35.07,36.12,35.17,35.07,35.57,34.98,35.57,36.22,36.07,35.42,35.82,36.97,36.32,36.62,36.72,37.46,37.26,37.76,37.06,37.16,37.31,37.01,38.01,38.86,38.21,37.66,37.91,38.26,37.71,38.16,38.61,39.0,37.26,38.46,39.0,39.5,39.5,37.81,38.86,38.46,39.7,39.7,38.61,38.56,38.76,39.3,39.05,40.3,39.9,39.85,39.4,39.65,39.55,39.0,39.4,40.25,39.6,39.7,39.45,40.3,40.75,41.09,40.35,40.35,40.6,40.05,40.7,39.9,40.65,40.5,40.1,40.0,40.9,41.39,41.0,41.0,40.85,41.19,41.04,42.34,41.99,41.39,42.34,41.59,41.39,42.24,41.04,41.64,41.29,41.69,41.34,41.14,40.85,41.54,42.14,41.09,41.54,41.64,40.6,40.8,41.34,41.54,41.29,41.34,41.04,41.94,42.14,41.84,41.54,41.19,41.44,41.04,42.14,41.34,41.59,41.24,41.34,41.44,41.29,42.54,41.74,41.14,40.55,41.04,41.04,40.9,41.09,41.0,40.8,41.94,40.25,42.39,40.95,41.34,41.79,41.54,42.24,41.44,42.74,41.54,41.94,42.64,42.49
