epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,epoch_101,epoch_102,epoch_103,epoch_104,epoch_105,epoch_106,epoch_107,epoch_108,epoch_109,epoch_110,epoch_111,epoch_112,epoch_113,epoch_114,epoch_115,epoch_116,epoch_117,epoch_118,epoch_119,epoch_120,epoch_121,epoch_122,epoch_123,epoch_124,epoch_125,epoch_126,epoch_127,epoch_128,epoch_129,epoch_130,epoch_131,epoch_132,epoch_133,epoch_134,epoch_135,epoch_136,epoch_137,epoch_138,epoch_139,epoch_140,epoch_141,epoch_142,epoch_143,epoch_144,epoch_145,epoch_146,epoch_147,epoch_148,epoch_149,epoch_150,epoch_151,epoch_152,epoch_153,epoch_154,epoch_155,epoch_156,epoch_157,epoch_158,epoch_159,epoch_160,epoch_161,epoch_162,epoch_163,epoch_164,epoch_165,epoch_166,epoch_167,epoch_168,epoch_169,epoch_170,epoch_171,epoch_172,epoch_173,epoch_174,epoch_175,epoch_176,epoch_177,epoch_178,epoch_179,epoch_180,epoch_181,epoch_182,epoch_183,epoch_184,epoch_185,epoch_186,epoch_187,epoch_188,epoch_189,epoch_190,epoch_191,epoch_192,epoch_193,epoch_194,epoch_195,epoch_196,epoch_197,epoch_198,epoch_199
36.34,33.15,53.01,51.85,60.42,53.98,56.5,56.4,58.67,62.04,63.58,67.03,70.08,68.58,70.96,72.13,74.26,74.13,75.0,71.49,77.21,78.0,77.68,78.76,79.81,79.78,78.74,81.23,81.54,80.16,80.05,83.3,82.35,82.73,82.19,82.76,82.2,85.28,83.24,82.99,83.87,84.62,84.1,83.51,84.47,85.03,82.99,84.94,85.19,84.0,83.66,86.38,85.17,85.22,85.16,85.0,84.35,85.92,84.83,85.93,85.86,86.97,85.28,83.75,87.72,86.94,86.47,87.87,85.86,85.08,86.36,85.91,86.04,85.31,86.41,87.14,86.23,85.99,85.94,87.05,86.84,86.91,87.33,86.91,86.46,87.51,86.84,88.28,87.63,87.98,84.99,87.32,86.83,87.11,86.11,87.59,85.98,87.31,88.59,86.48,87.09,87.49,87.72,87.2,88.16,88.69,87.89,87.32,86.66,88.46,88.33,88.47,87.47,88.23,86.95,88.09,88.39,88.61,88.61,87.71,89.34,88.05,87.65,88.19,90.32,89.72,87.73,87.47,89.03,88.56,89.68,88.91,89.35,88.84,88.73,90.95,90.12,90.03,90.08,90.05,89.52,89.58,89.59,90.23,88.83,89.71,89.54,90.18,90.45,90.26,91.17,91.13,89.97,90.17,92.26,90.89,91.86,90.5,91.25,90.74,91.97,91.95,90.28,90.48,92.1,90.35,91.08,91.02,90.03,90.57,91.82,90.79,90.81,91.01,91.19,90.85,91.64,91.44,91.56,90.55,91.6,90.61,92.03,92.95,92.64,89.88,92.7,91.94,92.44,92.31,92.99,91.76,92.47,92.09,91.94,92.05,92.51,91.74,91.49,92.46
19.68,20.78,39.26,35.03,45.74,46.09,54.61,64.87,63.48,68.86,69.46,72.94,74.59,78.43,79.47,83.81,83.81,84.6,84.7,82.76,86.05,86.85,86.8,88.24,87.94,87.34,86.75,88.74,89.44,88.29,88.54,89.29,89.99,89.89,90.23,89.54,89.09,89.69,87.79,89.34,90.08,90.38,89.44,88.39,88.99,90.23,88.49,88.29,90.03,89.69,87.89,89.94,89.44,88.89,87.14,88.34,88.24,88.34,88.29,89.24,89.14,89.19,88.99,88.04,89.24,89.24,89.59,88.59,89.19,88.54,89.29,88.14,88.74,87.94,88.39,89.79,89.69,89.39,89.24,89.79,89.44,89.44,88.99,87.94,87.19,89.19,88.89,88.74,88.99,88.84,87.64,88.64,89.94,89.49,89.39,88.74,88.49,88.39,89.09,88.44,88.79,89.14,88.94,88.34,88.89,89.49,89.39,89.09,89.19,89.04,88.84,89.54,89.39,90.03,89.14,87.84,89.04,89.24,88.79,86.9,89.14,88.69,88.34,88.49,88.99,89.24,88.69,88.14,89.49,88.84,89.59,89.44,89.84,89.49,89.59,89.64,89.64,89.59,89.79,89.34,89.54,90.43,89.39,89.64,90.38,89.99,90.03,90.23,90.53,90.73,90.58,90.58,90.03,90.18,90.13,89.84,90.23,90.53,90.43,90.33,90.83,90.68,89.79,89.84,90.68,89.99,90.08,90.28,89.24,89.79,89.89,89.54,89.69,90.53,90.03,90.18,89.99,89.89,89.69,89.99,90.03,90.03,90.18,90.48,90.68,90.13,90.48,90.23,90.48,90.33,90.98,90.73,90.63,90.63,90.23,90.18,90.03,90.28,90.43,90.28
18.12,17.9,18.95,19.33,21.57,22.18,24.96,22.17,29.77,26.28,35.74,29.15,35.82,36.95,41.72,40.28,43.95,46.32,53.26,57.21,57.69,57.91,62.22,61.16,62.49,64.87,67.72,67.38,64.35,71.07,69.77,70.34,70.47,69.7,71.69,72.82,74.49,73.74,74.23,74.66,73.75,74.61,74.48,74.85,74.59,74.7,75.94,75.83,75.01,75.3,75.38,75.84,76.9,76.79,76.44,76.89,76.53,76.76,76.96,77.38,77.57,77.42,76.48,77.37,77.53,77.38,77.42,77.65,77.46,77.6,77.77,77.63,77.6,76.64,76.8,77.62,77.73,77.74,77.36,77.4,77.4,77.69,77.61,77.97,78.19,77.86,77.85,78.05,76.82,77.2,77.1,77.82,77.93,77.31,77.61,77.41,77.92,77.5,77.67,78.39,77.59,77.77,77.3,77.77,77.91,77.74,77.34,77.62,78.32,78.03,77.61,77.86,78.22,78.29,78.6,78.3,78.28,78.5,78.59,79.08,77.9,77.86,78.38,78.32,78.26,77.99,78.2,78.48,78.61,77.79,78.85,77.69,78.29,78.96,78.24,78.33,78.69,78.56,77.94,77.95,78.16,77.67,77.9,77.19,78.07,77.57,78.03,78.52,78.49,78.29,77.79,77.81,77.83,77.41,77.34,78.52,78.14,78.26,78.42,78.11,78.22,78.07,78.43,78.91,78.32,78.57,78.02,78.54,78.5,77.97,78.48,78.99,78.76,78.02,78.64,78.55,78.51,78.33,78.97,78.35,77.89,78.26,77.6,78.47,78.43,78.76,77.79,78.1,78.07,78.24,77.98,78.04,78.39,78.65,78.54,78.13,78.15,77.99,78.58,77.79
10.35,10.4,12.94,12.04,12.19,12.89,13.78,13.18,14.88,15.87,15.37,17.66,18.21,19.6,20.2,20.2,24.73,24.43,24.98,26.47,27.31,29.5,28.51,29.45,29.6,29.65,29.6,30.65,31.04,30.9,32.14,33.33,31.84,32.74,31.09,31.94,31.29,33.03,32.59,32.34,31.94,32.49,32.89,32.44,32.04,32.24,31.69,33.23,32.39,32.64,33.08,33.28,32.64,32.94,33.88,33.33,33.38,35.02,33.18,33.63,32.84,33.28,32.79,32.39,33.03,33.23,32.54,34.33,31.54,32.84,32.99,33.78,34.08,32.64,31.84,32.79,32.79,33.98,33.63,32.79,33.18,34.03,32.69,33.08,33.38,33.38,32.79,33.53,32.64,33.78,31.54,33.18,32.29,33.23,31.89,33.68,31.94,33.43,33.83,32.84,32.29,33.33,33.58,34.13,33.03,33.83,31.14,32.49,32.24,34.58,32.34,33.93,33.48,33.73,31.69,34.53,33.63,32.74,33.83,34.58,34.33,33.08,33.03,32.54,34.43,34.13,32.64,34.43,34.28,34.63,36.02,34.38,34.48,35.77,32.94,35.37,34.63,34.53,34.18,35.42,35.42,33.38,34.18,33.93,33.03,34.13,33.18,34.78,34.18,34.93,35.12,35.47,34.48,32.69,34.43,33.48,35.37,35.02,34.38,34.28,35.52,35.27,33.13,35.77,32.99,32.89,33.58,35.32,33.88,34.78,35.42,35.72,36.12,36.57,36.32,35.67,34.83,35.52,36.52,34.98,34.53,34.48,34.68,37.21,35.97,33.63,35.77,34.98,35.62,35.77,35.92,35.42,36.07,36.42,35.92,34.68,34.93,34.73,34.78,35.32
