epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,epoch_101,epoch_102,epoch_103,epoch_104,epoch_105,epoch_106,epoch_107,epoch_108,epoch_109,epoch_110,epoch_111,epoch_112,epoch_113,epoch_114,epoch_115,epoch_116,epoch_117,epoch_118,epoch_119,epoch_120,epoch_121,epoch_122,epoch_123,epoch_124,epoch_125,epoch_126,epoch_127,epoch_128,epoch_129,epoch_130,epoch_131,epoch_132,epoch_133,epoch_134,epoch_135,epoch_136,epoch_137,epoch_138,epoch_139,epoch_140,epoch_141,epoch_142,epoch_143,epoch_144,epoch_145,epoch_146,epoch_147,epoch_148,epoch_149,epoch_150,epoch_151,epoch_152,epoch_153,epoch_154,epoch_155,epoch_156,epoch_157,epoch_158,epoch_159,epoch_160,epoch_161,epoch_162,epoch_163,epoch_164,epoch_165,epoch_166,epoch_167,epoch_168,epoch_169,epoch_170,epoch_171,epoch_172,epoch_173,epoch_174,epoch_175,epoch_176,epoch_177,epoch_178,epoch_179,epoch_180,epoch_181,epoch_182,epoch_183,epoch_184,epoch_185,epoch_186,epoch_187,epoch_188,epoch_189,epoch_190,epoch_191,epoch_192,epoch_193,epoch_194,epoch_195,epoch_196,epoch_197,epoch_198,epoch_199
11.53,46.83,49.25,49.29,51.31,51.23,53.68,54.18,55.3,53.91,54.37,53.44,51.72,55.06,54.18,49.99,52.64,53.67,52.01,55.27,57.5,58.24,61.03,58.9,58.87,63.65,64.36,65.35,68.17,67.29,68.0,66.0,71.72,68.83,64.82,75.9,70.44,71.73,71.21,72.11,70.29,70.69,71.98,74.01,74.18,75.07,72.14,69.28,72.69,73.79,71.68,74.66,75.83,75.78,73.64,74.99,73.9,79.56,71.72,74.93,74.35,75.39,73.95,74.91,76.5,76.77,77.45,79.9,80.04,77.5,77.98,75.99,77.12,77.99,78.82,78.61,76.29,75.43,76.84,74.72,78.22,78.95,79.59,77.55,80.86,78.02,77.96,80.19,76.77,76.67,78.21,80.96,78.74,80.39,80.66,79.71,79.06,79.03,78.79,80.71,79.28,78.07,80.7,79.04,80.0,79.08,77.65,81.47,80.33,77.59,77.63,81.75,78.57,80.54,77.92,81.63,80.36,80.86,79.34,79.1,80.59,81.98,81.81,80.47,82.82,86.15,84.61,82.96,84.04,84.81,84.11,83.23,83.69,80.87,81.1,80.64,80.63,82.38,81.97,80.67,78.6,80.74,80.94,82.12,80.02,80.35,83.15,80.82,81.06,79.75,84.07,81.57,80.53,80.59,81.85,80.52,84.42,80.34,84.68,83.13,82.02,79.79,84.04,83.79,83.45,80.48,82.85,81.39,83.2,80.19,82.52,85.48,81.52,81.03,82.44,82.74,81.83,80.68,81.67,81.37,80.33,81.01,81.39,82.92,83.21,78.78,80.72,80.11,80.15,81.36,80.85,79.7,79.63,83.3,81.75,83.82,82.34,82.57,81.23,81.18
13.15,19.08,24.91,38.02,46.39,50.32,56.9,61.14,65.77,67.41,69.36,71.7,73.14,76.48,75.83,77.43,78.77,80.77,81.91,81.51,84.4,83.31,85.95,85.95,85.65,87.05,86.9,88.24,88.79,88.49,87.74,88.14,89.24,89.29,89.19,90.33,90.08,89.44,90.48,90.08,90.63,90.88,91.13,90.88,90.63,90.33,90.53,90.33,90.73,90.68,90.58,90.88,90.58,91.63,90.68,91.08,91.28,91.33,91.58,90.68,90.03,90.83,91.18,91.28,91.28,91.43,91.83,91.93,92.23,92.13,92.18,90.93,91.63,91.03,91.88,92.23,92.38,91.88,91.43,91.93,91.68,91.68,92.18,91.78,92.38,91.83,92.03,92.13,92.28,92.38,92.03,92.33,92.13,91.93,92.92,92.43,91.48,92.23,92.58,92.43,91.88,91.63,92.78,92.58,92.78,92.28,93.02,92.83,92.63,92.92,92.28,92.73,92.58,92.78,92.97,93.17,92.73,93.02,92.87,93.37,92.73,92.53,92.48,92.73,93.17,93.22,92.33,92.78,93.47,93.42,93.32,92.92,93.02,92.68,92.92,93.27,93.27,92.92,93.52,93.42,93.27,93.42,93.12,93.42,93.47,94.02,93.47,93.17,93.47,93.02,93.22,93.62,93.17,93.27,93.42,93.62,93.72,93.67,93.72,93.37,93.37,93.22,93.52,93.32,93.77,93.02,94.17,93.52,93.22,92.83,93.92,94.32,93.57,93.67,94.17,94.02,93.87,94.07,93.97,94.17,93.92,93.87,93.67,93.27,93.67,93.27,94.02,94.07,94.27,93.92,94.07,94.12,93.67,94.37,93.82,94.12,94.47,94.62,94.07,93.92
18.88,18.58,19.96,23.38,26.16,28.85,33.39,37.78,40.32,44.98,48.25,51.28,54.31,57.08,58.87,61.41,62.47,64.57,67.03,66.59,68.49,69.88,68.87,70.67,71.41,71.93,73.22,73.76,74.08,74.5,73.77,74.69,74.7,75.46,76.09,75.61,76.08,76.19,76.51,76.72,77.06,77.02,77.33,77.07,77.9,77.7,78.05,77.95,78.17,78.22,78.24,77.79,78.7,78.76,78.55,78.22,79.26,78.97,79.06,79.44,79.31,79.56,78.9,78.96,78.8,79.69,79.02,79.44,79.29,79.13,79.09,79.46,79.62,79.96,79.53,79.91,79.84,79.95,79.31,79.4,79.46,79.54,79.67,79.52,80.15,80.15,80.09,80.02,80.08,79.96,79.94,79.99,80.67,80.27,79.68,80.02,80.04,80.01,80.37,80.31,80.5,80.52,80.29,80.66,80.35,80.76,80.42,79.81,80.23,79.95,80.18,79.88,79.76,79.97,80.25,80.01,79.89,80.23,79.98,79.82,79.58,80.05,80.26,80.08,80.7,80.27,80.84,80.59,80.59,80.02,80.01,79.97,80.19,80.5,80.07,80.11,79.87,79.64,79.83,80.17,80.0,79.76,80.35,80.12,79.62,79.82,80.34,80.16,80.13,80.06,79.89,79.97,80.45,80.62,80.16,79.91,80.09,80.16,80.4,80.18,80.2,80.43,79.98,80.09,79.67,79.73,79.97,80.2,80.11,79.94,79.68,79.75,80.04,79.96,79.7,79.72,79.66,80.65,80.36,80.11,79.94,79.9,80.0,80.34,79.88,80.16,79.82,80.1,80.17,80.39,79.89,79.87,79.84,79.29,79.97,79.63,79.48,79.8,80.08,80.01
9.3,12.74,12.89,13.03,14.63,16.02,16.07,16.92,18.81,19.65,21.54,23.08,24.78,26.32,27.61,30.0,31.99,32.44,32.14,34.63,35.47,35.32,37.46,38.01,37.56,38.21,37.91,39.45,41.99,41.09,41.94,41.84,41.69,41.39,41.14,44.38,42.19,44.13,42.69,42.94,44.08,44.03,45.42,45.22,45.62,46.02,45.37,44.78,46.72,47.31,45.57,46.72,46.57,46.12,45.52,46.32,47.41,47.66,45.92,45.87,46.07,45.97,45.47,46.42,47.66,48.01,47.61,48.36,48.01,47.36,46.87,48.06,47.56,47.96,47.41,47.66,47.11,48.56,48.16,47.61,48.11,48.01,48.11,47.16,47.86,47.16,47.91,48.16,47.26,47.51,47.06,47.01,47.56,47.66,48.36,46.57,46.92,47.01,46.12,46.02,47.11,46.27,47.41,47.21,46.92,47.46,46.12,47.31,46.82,47.11,47.66,47.21,47.56,47.06,46.92,47.56,46.97,47.11,46.97,46.77,46.82,47.81,46.82,46.92,46.92,48.06,46.87,46.47,46.77,47.41,47.06,47.51,47.06,47.41,47.76,47.21,46.77,47.56,47.36,46.67,46.97,46.92,47.31,47.01,46.97,46.62,46.97,45.62,45.87,46.22,46.52,46.62,46.77,46.47,46.87,46.82,46.97,46.92,46.67,46.72,47.56,45.77,47.46,47.51,47.21,46.52,46.67,46.92,47.31,46.72,46.72,47.81,47.41,46.92,47.21,46.97,46.27,46.27,46.67,46.67,46.97,46.42,46.62,47.46,47.46,46.27,46.17,46.82,47.11,48.11,47.56,47.26,46.12,46.72,46.27,46.97,47.16,46.57,47.31,46.97
